airport_code,airport_name,city,timezone
CAN,Guangzhou Baiyun International Airport,Guangzhou,China Standard Time (UTC +8:00)
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,Eastern Standard Time (UTC -5:00)
DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,Central Standard Time (UTC -6:00)
HND,Tokyo Haneda International Airport,Tokyo,Japan Standard Time (UTC +9:00)
DEL,Indira Ghandi International Airport,New Delhi,India Standard Time (UTC +5.5:00)
MEX,Licenciado Benito Jaurez International Airport,Mexico City,Central Standard Time (UTC -6:00)
FRA,Frankfurt Am Main Airport,Frankfurt am Main,Central European Standard Time (UTC +1:00)
GRU,Governador Andre Franco Montoro Airport,Sao Paulo,Brasilia Standard Time (UTC -3:00)
